Natlanguage_query,SQL_query
"CO22 Counts of conditions, stratified by condition type","SELECT 
  concept_name                      AS condition_occurrence_type, 
  condition_type_concept_id, 
  COUNT(*)                          AS occurrence_type_count
FROM cdm.condition_occurrence
INNER JOIN cdm.concept 
ON concept_id = condition_type_concept_id
GROUP BY concept_name, condition_type_concept_id;"
"CO23 Distribution of condition occurrence month/year, stratified by condition.","SELECT condition_concept_id,
       concept_name,
       condition_month_year,
       count(*)                   AS occurrences_count
  FROM
      (SELECT condition_concept_id,
              concept_name,
              
              CONCAT(MONTH(condition_start_date), '-', YEAR(condition_start_date))  AS condition_month_year,
              MONTH(condition_start_date)                                           AS m1
        FROM cdm.condition_occurrence condition
        INNER JOIN cdm.concept concept
        ON condition.condition_concept_id = concept.concept_id AND condition.condition_concept_id=192279
      ) AS m1
GROUP BY condition_concept_id,
         concept_name,
         condition_month_year,
         m1
ORDER BY m1;"
"CO24 Counts of genders, stratified by condition","SELECT
      CASE
        WHEN male_id<> null THEN male_id
        ELSE female_id
      END                                  AS concept_id,

      CASE
        WHEN male_concept_name<> null THEN male_concept_name
        ELSE female_concept_name
      END                                  AS name,
        count_male,
        count_female
  FROM
    (SELECT male_list.condition_concept_id        AS male_id,
            male_list.concept_name                AS male_concept_name,
            male_list.count_male                  AS count_male ,
            female_list.condition_concept_id      AS female_id,
            female_list.concept_name              AS female_concept_name,
            female_list.count_female              AS count_female
      FROM
        (SELECT condition_concept_id,
                concept_name,
                count(*)                          AS count_male
          FROM cdm.condition_occurrence condition
          INNER JOIN cdm.concept concept
          ON condition.condition_concept_id=concept.concept_id
             AND person_id IN (SELECT person_id
                               FROM cdm.person
                               WHERE gender_concept_id=8507 --Male
                               )
          GROUP BY  condition_concept_id, concept_name
        ) AS male_list

        FULL JOIN

        (SELECT condition_concept_id,
                concept_name,
                count(*)                          AS count_female
          FROM cdm.condition_occurrence condition
          INNER JOIN cdm.concept concept
          ON condition.condition_concept_id=concept.concept_id
             AND person_id IN (SELECT person_id
                               FROM cdm.person
                               WHERE gender_concept_id=8532 --Female
                               )
          GROUP BY condition_concept_id, concept_name
        ) AS female_list

        ON male_list.condition_concept_id=female_list.condition_concept_id
    ) AS counts_disease_gender"
"CO25 Counts of condition records per person, stratified by condition.","SELECT condition_concept_id, 
       num_of_occurrences,
       count(*) num_of_patients
FROM 
  (SELECT condition_concept_id, 
          person_id, 
          count(*) num_of_occurrences
    FROM cdm.condition_occurrence condition
    WHERE condition.condition_concept_id = 200219 -- Input condition
    GROUP BY person_id, condition_concept_id
  ) AS counts_condition_person
GROUP BY condition_concept_id, num_of_occurrences;"
COC01 Determines first line of therapy for a condition,"SELECT
  ingredient_name,
  ingredient_concept_id,
  count(*) AS num_patients
FROM /*Drugs started by people up to 30 days after Angioedema diagnosis */ (
  SELECT
    condition.person_id,
    condition_start_date,
    drug_era_start_date,
    ingredient_name,
    ingredient_concept_id
  FROM /* people with Angioedema with 180 clean period and 180 day follow-up */ (
    SELECT
      era.person_id,
      condition_era_start_date AS condition_start_date
    FROM cdm.condition_era era
    JOIN cdm.observation_period obs
      ON obs.person_id = era.person_id AND
         era.condition_era_start_date >= DATEADD(DAY,180,obs.observation_period_start_date) AND
         era.condition_era_start_date <= DATEADD(DAY, -180,obs.observation_period_end_date)
    WHERE
      era.condition_concept_id IN -- SNOMed codes for Angioedema  
      ( SELECT descendant_concept_id
        FROM cdm.concept_ancestor
        WHERE ancestor_concept_id=432791)
  ) condition
  JOIN cdm.drug_era rx /* Drug_era has drugs at ingredient level */
    ON rx.person_id = condition.person_id AND
       rx.drug_era_start_date >= condition.condition_start_date AND
       rx.drug_era_start_date <= DATEADD(day,30,condition.condition_start_date)
  JOIN /* Ingredients for indication Angioedema */ (
    SELECT
      ingredient.concept_id AS ingredient_concept_id ,
      ingredient.concept_name AS ingredient_name
    FROM cdm.concept ingredient
    JOIN cdm.concept_ancestor ca ON ca.descendant_concept_id = ingredient.concept_id
    WHERE
      ca.ancestor_concept_id = 21003378 /* indication for angioedema */ AND
      ingredient.concept_class_id ='Ingredient'
  ) ingredients ON ingredients.ingredient_concept_id = rx.drug_concept_id
) therapy
GROUP by ingredient_name, ingredient_concept_id
ORDER BY num_patients DESC;"
COC02 Determines length of course of therapy for a condition,"SELECT ingredient_name,
    ingredient_concept_id,
    count(*) AS num_patients,
    min(length_of_therapy) AS min_length_of_therapy,
    max(length_of_therapy) AS max_length_of_therapy,
    avg(length_of_therapy) AS average_length_of_therapy
FROM (
    SELECT condition.person_id,
        condition.condition_start_date,
        rx.drug_era_start_date,
        DATEDIFF(day, rx.drug_era_start_date, rx.drug_era_end_date) + 1 AS length_of_therapy,
        ingredient_name,
        ingredient_concept_id
    FROM (
        SELECT era.person_id,
            condition_era_start_date AS condition_start_date
        FROM cdm.condition_era era
        INNER JOIN cdm.observation_period AS obs ON obs.person_id = era.person_id
            AND condition_era_start_date >= DATEADD(day,180,observation_period_start_date)
                AND condition_era_start_date <= DATEADD(day,-180,observation_period_end_date)
        WHERE condition_concept_id IN (137829, 138723, 140065, 140681, 4031699, 4098027, 4098028, 4098145, 4098760, 4100998, 4101582, 4101583, 4120453, 4125496, 4125497, 4125498, 4125499, 4146086, 4146087, 4146088, 4148471, 4177177, 4184200, 4184758, 4186108, 4187773, 4188208, 4211348, 4211695, 4225810, 4228194, 4234973, 4298690, 4345236)
        ) condition
    INNER JOIN cdm.drug_era rx ON rx.person_id = condition.person_id
        AND rx.drug_era_start_date >= condition_start_date
            AND rx.drug_era_start_date <= DATEADD(day, 30,condition_start_date)
    INNER JOIN (
        SELECT DISTINCT ingredient.concept_id AS ingredient_concept_id,
            ingredient.concept_name AS ingredient_name
        FROM cdm.concept_ancestor ancestor
        INNER JOIN cdm.concept indication ON ancestor.ancestor_concept_id = indication.concept_id
        INNER JOIN cdm.concept ingredient ON ingredient.concept_id = ancestor.descendant_concept_id
        WHERE lower(indication.concept_name) LIKE ('%anemia%')
            AND indication.vocabulary_id = 'Indication'
            AND ingredient.concept_class_id = 'Ingredient'
            AND indication.invalid_reason IS NULL /* not necessary as concept_ancestor stores only valid concepts */
            AND ingredient.invalid_reason IS NULL /* not necessary as concept_ancestor stores only valid concepts */
                    ) ingredients ON ingredient_concept_id = drug_concept_id
    ) treatment
GROUP BY ingredient_name,
    ingredient_concept_id
ORDER BY num_patients DESC;"
COC05 Mortality rate after initial diagnosis,"SELECT COUNT(DISTINCT diagnosed.person_id) AS all_infarctions,
    SUM(CASE
            WHEN death.person_id IS NULL
                THEN 0
            ELSE 1
            END) AS death_from_infarction
FROM -- Initial diagnosis of Acute Myocardial Infarction
    (
    SELECT DISTINCT person_id,
        condition_era_start_date
    FROM /* diagnosis of Acute Myocardial Infarction, ranked by date, 6 month clean period with 1 year follow-up */
        (
        SELECT condition.person_id,
            condition.condition_era_start_date,
            SUM(1) OVER (
                PARTITION BY condition.person_id ORDER BY condition_era_start_date ROWS UNBOUNDED PRECEDING
                ) AS ranking
        FROM cdm.condition_era condition
        INNER JOIN --definition of Acute Myocardial Infarction 1
            (
            SELECT DISTINCT ca.descendant_concept_id AS concept_id
            FROM cdm.concept concept1
            INNER JOIN cdm.concept_relationship rel ON concept1.concept_id = rel.concept_id_1
            INNER JOIN cdm.concept_ancestor ca ON ancestor_concept_id = concept_id_2
            WHERE rel.relationship_id = 'HOI - SNOMED'
                AND concept1.concept_name = 'OMOP Acute Myocardial Infarction 1'
                AND rel.invalid_reason IS NULL
            ) conceptlist ON conceptlist.concept_id = condition_concept_id
        INNER JOIN cdm.observation_period obs ON obs.person_id = condition.person_id
            AND condition_era_start_date >= DATEADD(day, 180, observation_period_start_date)
            AND condition_era_start_date <= DATEADD(day, - 360, observation_period_end_date)
        ) ranked_diagnosis
    WHERE ranking = 1
    ) diagnosed
LEFT JOIN cdm.death /* death within a year */
    ON death.person_id = diagnosed.person_id
    AND death.death_date <= DATEADD(day, 360, condition_era_start_date);"
COC06 Time until death after initial diagnosis,"SELECT COUNT(DISTINCT diagnosed.person_id) AS all_infarction_deaths,
    ROUND(min(DATEDIFF(day, diagnosed.condition_era_start_date, death.death_date)) / 365, 1) AS min_years,
    ROUND(max(DATEDIFF(day, diagnosed.condition_era_start_date, death.death_date)) / 365, 1) AS max_years,
    ROUND(avg(DATEDIFF(day, diagnosed.condition_era_start_date, death.death_date)) / 365, 1) AS avg_years
FROM -- Initial diagnosis of Acute Myocardial Infarction
    (
    SELECT DISTINCT person_id,
        condition_era_start_date
    FROM /* diagnosis of Acute Myocardial Infarction, ranked by date, 6 month clean*/
        (
        SELECT condition.person_id,
            condition.condition_era_start_date,
            rank() OVER (PARTITION BY condition.person_id ORDER BY condition_era_start_date) AS ranking
        FROM cdm.condition_era condition
        INNER JOIN -- definition of Acute Myocardial Infarction 1
            (
            SELECT DISTINCT ca.descendant_concept_id AS concept_id
            FROM cdm.concept concept1
            INNER JOIN cdm.concept_relationship rel ON concept1.concept_id = rel.concept_id_1
            INNER JOIN cdm.concept_ancestor ca ON ancestor_concept_id = concept_id_2
            WHERE rel.relationship_id = 'HOI - SNOMED'
                AND concept1.concept_name = 'OMOP Acute Myocardial Infarction 1'
                AND rel.invalid_reason IS NULL
            ) conceptlist ON conceptlist.concept_id = condition_concept_id
        INNER JOIN cdm.observation_period obs ON obs.person_id = condition.person_id
            AND condition.condition_era_start_date >= DATEADD(day, 180, obs.observation_period_start_date)
        ) diagnosis_ranked
    WHERE ranking = 1
    ) diagnosed
INNER JOIN cdm.death ON death.person_id = diagnosed.person_id;"
COC07 Patients with condition in conjunction with a procedure some number of days prior to or after initial condition.,"SELECT DISTINCT condition.condition_concept_id,
    condition.person_id,
    procedure_date,
    condition_era_start_date
FROM cdm.procedure_occurrence pr
INNER JOIN cdm.condition_era condition ON condition.person_id = pr.person_id
INNER JOIN (
    SELECT DISTINCT ca.descendant_concept_id AS concept_id
    FROM cdm.concept concept1
    INNER JOIN cdm.concept_relationship rel ON concept1.concept_id = rel.concept_id_1
    INNER JOIN cdm.concept_ancestor ca ON ancestor_concept_id = concept_id_2
    WHERE rel.relationship_id = 'HOI - SNOMED'
        AND concept1.concept_name = 'OMOP Aplastic Anemia 1'
        AND rel.invalid_reason IS NULL
    ) conceptlist ON conceptlist.concept_id = condition_concept_id
WHERE pr.procedure_concept_id IN ( 2002382, 2002403, 2108452, 2108453, 2212660, 2212662, 3045142, 3048879, 36359239, 37586183)
    AND procedure_date >= DATEADD(day, - 60, condition_era_start_date)
    AND procedure_date <= condition_era_start_date;"
COC08 Patients with condition and some measurement criteria some number of days prior to or after initial condition,"SELECT DISTINCT condition.person_id,
    measurement_date,
    condition_era_start_date
FROM cdm.condition_era condition
INNER JOIN --  definition of Aplastic Anemia
    (
    SELECT DISTINCT ca.descendant_concept_id AS concept_id
    FROM cdm.concept concept1
    INNER JOIN cdm.concept_relationship rel ON concept1.concept_id = rel.concept_id_1
    INNER JOIN cdm.concept_ancestor ca ON ancestor_concept_id = concept_id_2
    WHERE rel.relationship_id = 'HOI - SNOMED'
        AND concept1.concept_name = 'OMOP Aplastic Anemia 1'
        AND rel.invalid_reason IS NULL
    ) conceptlist ON conceptlist.concept_id = condition_concept_id
INNER JOIN cdm.measurement measurement ON measurement.person_id = condition.person_id
    AND measurement_date >= DATEADD(day, - 7, condition_era_start_date)
    AND measurement_date <= DATEADD(day, 7, condition_era_start_date)
WHERE measurement_concept_id IN /* leukocytes #/volume in blood */ (3000905, 3003282, 3010813)
    AND unit_concept_id = 8961 /* Thousand per cubic millimeter */
    AND value_as_number <= 3.5;"
COC09 Condition that is regionally dependent,"SELECT STATE,
    count(*) AS total_enroled,
    sum(lymed) AS lyme_cases,
    ROUND((sum(lymed) / count(*)) * 100, 2) AS percentages
FROM (
    SELECT person.person_id,
        state,
        ISNULL(lymed, 0) lymed
    FROM cdm.person
    INNER JOIN cdm.location ON person.location_id = location.location_id
    LEFT JOIN (
        SELECT DISTINCT person_id,
            1 AS lymed
        FROM cdm.condition_era
        INNER JOIN cdm.concept_relationship cr ON concept_id_1 = condition_concept_id
        INNER JOIN cdm.concept c ON concept_id_2 = concept_id
        WHERE (
                (
                    c.vocabulary_id = 'ICD9CM'
                    AND c.concept_code = '088.81'
                    )
                OR (
                    c.vocabulary_id = 'ICD10CM'
                    AND c.concept_code LIKE 'A69.2%'
                    )
                )
            AND cr.invalid_reason IS NULL
            AND relationship_id = 'Mapped from'
        ) lp ON lp.person_id = person.person_id
    ) lyme_patients
GROUP BY STATE
ORDER BY 4 DESC;"
COC10 Lenght of condition as function of treatment,"SELECT treatment,
    count(*),
    min(condition_days) AS min,
    max(condition_days) AS max,
    avg(condition_days) AS avg_condition_days
FROM (
    SELECT CASE
            WHEN surgery = 1
                THEN 'surgery'
            WHEN drug = 1
                AND pt = 1
                THEN 'PT Rx'
            WHEN drug = 1
                THEN 'Rx Only'
            ELSE 'No Treatment'
            END AS treatment,
        condition_days
    FROM (
        SELECT person_id,
            diag_date,
            max(drug) AS drug,
            max(surgery) AS surgery,
            max(pt) AS PT,
            max(condition_days) AS condition_days
        FROM /* back pain and treatments over following 60 days */ (
            SELECT era.person_id,
                condition_era_start_date AS diag_date,
                datediff(day, condition_era_start_date, condition_era_end_date) AS condition_days,
                ISNULL(drug, 0) AS drug,
                ISNULL(surgery, 0) AS surgery,
                ISNULL(pt, 0) AS pt
            FROM cdm.condition_era era
            INNER JOIN /* SNOMed codes for back pain */ (
                 SELECT DISTINCT ca.descendant_concept_id
            FROM cdm.concept_ancestor ca JOIN
            ( SELECT cr.concept_id_2 AS target_concept_id
                FROM cdm.concept_relationship cr
                JOIN cdm.concept c1 ON cr.concept_id_1 = c1.concept_id
                JOIN cdm.concept c2 ON cr.concept_id_2 = c2.concept_id
                WHERE cr.relationship_id = 'Maps to'
                AND c1.concept_code like '724%'
                AND c2.standard_concept = 'S'
                AND c1.vocabulary_id = 'ICD9CM'
                AND c2.vocabulary_id = 'SNOMED'
                AND cr.invalid_reason is null
            ) t ON ca.ancestor_concept_id = t.target_concept_id            
                    ) conditions ON descendant_concept_id = condition_concept_id
            LEFT JOIN (
                SELECT person_id,
                    procedure_date,
                    1 AS surgery
                FROM cdm.procedure_occurrence pr
                INNER JOIN cdm.concept ON concept_id = procedure_concept_id
                WHERE vocabulary_id = 'CPT4'
                    AND concept_code IN ('22851', '20936', '22612', '22523', '22630', '22614*', '22842', '22632', '20930', '22524', '27130', '22525')
                ) surgery ON surgery.person_id = era.person_id
                AND surgery.procedure_date >= condition_era_start_date
                AND surgery.procedure_date <= DATEADD(day, 60, condition_era_start_date)
            LEFT JOIN (
                SELECT person_id,
                    procedure_date AS drug_date,
                    1 AS drug
                FROM cdm.procedure_occurrence pr
                INNER JOIN cdm.concept ON concept_id = procedure_concept_id
                WHERE vocabulary_id = 'CPT4'
                    AND concept_code IN ('20610', '20552', '207096', '20553', '20550', '20605', '20551', '20600', '23350')

                UNION

                SELECT person_id,
                    drug_era_start_date,
                    1
                FROM cdm.drug_era
                WHERE drug_concept_id IN (1125315, 778711, 1115008, 1177480, 1112807, 1506270)
                ) drug ON drug.person_id = era.person_id
                AND drug.drug_date >= condition_era_start_date
                AND drug.drug_date <= DATEADD(day, 60, condition_era_start_date)
            LEFT JOIN (
                SELECT person_id,
                    procedure_date AS pt_date,
                    1 AS pt
                FROM cdm.procedure_occurrence pr
                INNER JOIN cdm.concept ON concept_id = procedure_concept_id
                WHERE vocabulary_id = 'CPT4'
                    AND concept_code IN ('97001', '97140', '97002')

                UNION

                SELECT person_id,
                    procedure_date AS pt_date,
                    1 AS pt
                FROM cdm.procedure_occurrence pr
                INNER JOIN cdm.concept ON concept_id = procedure_concept_id
                WHERE vocabulary_id = 'HCPCS'
                    AND concept_code = 'G0283'
                ) pt ON pt.person_id = era.person_id
                AND pt.pt_date >= condition_era_start_date
                AND pt.pt_date <= DATEADD(day, 60, condition_era_start_date)
            ) EV
        WHERE diag_date > DATEFROMPARTS(2011, 01, 01)
        GROUP BY person_id,
            diag_date
        ) AE
    ) CE
GROUP BY treatment
ORDER BY treatment;"
"COC11 Given a condition, what treatment did patient receive","SELECT treatment,
    count(*)
FROM (
    SELECT CASE
            WHEN surgery = 1
                THEN 'surgery'
            WHEN drug = 1
                AND pt = 1
                THEN 'PT Rx'
            WHEN drug = 1
                THEN 'Rx Only'
            ELSE 'No Treatment'
            END AS treatment
    FROM (
        SELECT person_id,
            diag_date,
            max(drug) AS drug,
            max(surgery) AS surgery,
            max(pt) AS PT
        FROM /* back pain and treatments over following 60 days */
            (
            SELECT era.person_id,
                condition_era_start_date AS diag_date,
                ISNULL(drug, 0) AS drug,
                ISNULL(surgery, 0) AS surgery,
                ISNULL(pt, 0) AS pt
            FROM cdm.condition_era era
            INNER JOIN /* SNOMed codes for back pain */
                (
                SELECT DISTINCT ca.descendant_concept_id
                FROM cdm.concept_ancestor ca
                INNER JOIN (
                    SELECT cr.concept_id_2 AS target_concept_id
                    FROM cdm.concept_relationship cr
                    INNER JOIN cdm.concept c1 ON cr.concept_id_1 = c1.concept_id
                    INNER JOIN cdm.concept c2 ON cr.concept_id_2 = c2.concept_id
                    WHERE cr.relationship_id = 'Maps to'
                        AND c1.concept_code LIKE '724%'
                        AND c2.standard_concept = 'S'
                        AND c1.vocabulary_id = 'ICD9CM'
                        AND c2.vocabulary_id = 'SNOMED'
                        AND cr.invalid_reason IS NULL
                    ) t ON ca.ancestor_concept_id = t.target_concept_id
                ) conditions ON descendant_concept_id = condition_concept_id
            LEFT JOIN /* surgery */
                (
                SELECT person_id,
                    procedure_date,
                    1 AS surgery
                FROM cdm.procedure_occurrence pr
                INNER JOIN cdm.concept ON concept_id = procedure_concept_id
                WHERE vocabulary_id = 'CPT4' /* CPT-4 */
                    AND concept_code IN ('22851', '20936', '22612', '22523', '22630', '22614', '22842', '22632', '20930', '22524', '27130', '22525')
                ) surgery ON surgery.person_id = era.person_id
                AND surgery.procedure_date >= condition_era_start_date
                AND surgery.procedure_date <= DATEADD(day, 60, condition_era_start_date)
            LEFT JOIN /* drugs */
                (
                SELECT person_id,
                    procedure_date AS drug_date,
                    1 AS drug
                FROM cdm.procedure_occurrence pr
                INNER JOIN cdm.concept ON concept_id = procedure_concept_id
                WHERE vocabulary_id = 'CPT4' /* CPT-4 */
                    AND concept_code IN ('20610', '20552', '207096', '20553', '20550', '20605', '20551', '20600', '23350')

                UNION

                SELECT person_id,
                    drug_era_start_date,
                    1
                FROM cdm.drug_era
                WHERE drug_concept_id IN (1125315, 778711, 1115008, 1177480, 1112807, 1506270)
                ) drug ON drug.person_id = era.person_id
                AND drug.drug_date >= condition_era_start_date
                AND drug.drug_date <= DATEADD(day, 60, condition_era_start_date)
            LEFT JOIN /* pt */
                (
                SELECT person_id,
                    procedure_date AS pt_date,
                    1 AS pt
                FROM cdm.procedure_occurrence pr
                INNER JOIN cdm.concept ON concept_id = procedure_concept_id
                WHERE vocabulary_id = 'CPT4' /* CPT-4 */
                    AND concept_code IN ('97001', '97140', '97002')

                UNION

                SELECT person_id,
                    procedure_date AS pt_date,
                    1 AS pt
                FROM cdm.procedure_occurrence pr
                INNER JOIN cdm.concept ON concept_id = procedure_concept_id
                WHERE vocabulary_id = 'HCPCS' /* HCPCS */
                    AND concept_code = 'G0283'
                ) pt ON pt.person_id = era.person_id
                AND pt.pt_date >= condition_era_start_date
                AND pt.pt_date <= DATEADD(day, 60, condition_era_start_date)
            ) EV
        WHERE diag_date > DATEFROMPARTS(2011, 01, 01)
        GROUP BY person_id,
            diag_date
        ) AE
    ) CE
GROUP BY treatment
ORDER BY treatment;"
C01 Find condition by concept ID,"SELECT
  c.concept_id       AS condition_concept_id,
  c.concept_name     AS condition_concept_name,
  c.concept_code     AS condition_concept_code,
  c.concept_class_id AS condition_concept_class,
  c.vocabulary_id    AS condition_concept_vocab_id,
  CASE c.vocabulary_id
  WHEN 'SNOMED'
    THEN CASE lower(c.concept_class_id)
         WHEN 'clinical finding'
           THEN 'Yes'
         ELSE 'No' END
  WHEN 'MedDRA'
    THEN 'Yes'
  ELSE 'No'
  END                AS is_disease_concept_flag
FROM cdm.concept AS c
WHERE
  c.concept_id = 192671 AND 
  c.invalid_reason IS NULL
;"
C02 Find a condition by keyword,"SELECT
  t.entity_concept_id,
  t.entity_name,
  t.entity_code,
  t.entity_concept_class,
  t.entity_vocabulary_id
FROM (
       SELECT
         c.concept_id       AS entity_concept_id,
         c.concept_name     AS entity_name,
         c.concept_code     AS entity_code,
         c.concept_class_id AS entity_concept_class,
         c.vocabulary_id    AS entity_vocabulary_id
       FROM cdm.concept AS c
         LEFT JOIN cdm.concept_synonym AS s ON c.concept_id = s.concept_id
       WHERE
          c.invalid_reason IS NULL AND
         (c.vocabulary_id IN ('SNOMED', 'MedDRA') OR lower(c.concept_class_id) = 'clinical finding') AND
         c.concept_class_id IS NOT NULL AND
         (lower(c.concept_name) LIKE '%myocardial infarction%' OR
          lower(s.concept_synonym_name) LIKE '%myocardial infarction%')
     ) t
ORDER BY t.entity_vocabulary_id, t.entity_name
;"
C03 Translate a SNOMED-CT concept into a MedDRA concept,"SELECT
  d.concept_id        AS snomed_concept_id,
  d.concept_name      AS snomed_concept_name,
  d.concept_code      AS snomed_concept_code,
  d.concept_class_id  AS snomed_concept_class,
  cr.relationship_id  AS relationship_id,
  r.relationship_name AS relationship_name,
  a.concept_id        AS meddra_concept_id,
  a.concept_name      AS meddra_concept_name,
  a.concept_code      AS meddra_concept_code,
  a.concept_class_id  AS meddra_concept_class
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS d ON cr.concept_id_1 = d.concept_id
  JOIN cdm.concept AS a ON cr.concept_id_2 = a.concept_id
  JOIN cdm.relationship AS r ON cr.relationship_id = r.relationship_id
WHERE
  cr.relationship_id = 'SNOMED - MedDRA eq' AND
  cr.concept_id_1 = 312327 AND
  cr.invalid_reason IS NULL
;"
C04 Translate a MedDRA concept into a SNOMED-CT concept,"SELECT
  d.concept_id         AS meddra_concept_id,
  d.concept_name       AS meddra_concept_name,
  d.concept_code       AS meddra_concept_code,
  d.concept_class_id   AS meddra_concept_class,
  cr.relationship_id   AS relationship_id,
  r.relationship_name  AS relationship_name,
  a.concept_id         AS snomed_concept_id,
  a.concept_name       AS snomed_concept_name,
  a.concept_code       AS snomed_concept_code,
  a.concept_class_id   AS snomed_concept_class
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS d ON cr.concept_id_1 = d.concept_id
  JOIN cdm.concept AS a ON cr.concept_id_2 = a.concept_id
  JOIN cdm.relationship AS r ON cr.relationship_id = r.relationship_id
WHERE
  cr.relationship_id = 'MedDRA - SNOMED eq' AND
  cr.concept_id_1 = 35205180 AND
  cr.invalid_reason IS NULL
;"
C05 Translate a source code to condition concepts,"SELECT DISTINCT
  c1.concept_code     AS source_code,
  c1.concept_name     AS source_name,
  c1.vocabulary_id    AS source_vocabulary_id,
  c2.concept_id       AS target_concept_id,
  c2.concept_name     AS target_concept_name,
  c2.concept_code     AS target_concept_code,
  c2.concept_class_id AS target_concept_class,
  c2.vocabulary_id    AS target_concept_vocab_id
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS c1 ON cr.concept_id_1 = c1.concept_id
  JOIN cdm.concept AS c2 ON cr.concept_id_2 = c2.concept_id
WHERE
  cr.relationship_id = 'Maps to' AND
  c1.concept_code IN ('070.0') AND
  c1.vocabulary_id = 'ICD9CM' AND
  c1.invalid_reason IS NULL
;"
C06 Translate a given condition to source codes,"SELECT DISTINCT
  c1.concept_code     AS source_code,
  c1.concept_name     AS source_name,
  c1.vocabulary_id    AS source_vocabulary_id,
  c1.domain_id        AS source_domain_id,
  c2.concept_id       AS target_concept_id,
  c2.concept_name     AS target_concept_name,
  c2.concept_code     AS target_concept_code,
  c2.concept_class_id AS target_concept_class,
  c2.vocabulary_id    AS target_concept_vocab_id
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS c1 ON cr.concept_id_1 = c1.concept_id
  JOIN cdm.concept AS c2 ON cr.concept_id_2 = c2.concept_id
WHERE
  cr.relationship_id = 'Mapped from' AND
  c1.concept_id = 312327 AND
  c2.invalid_reason IS NULL"
C07 Find a pathogen by keyword,"SELECT
  c.concept_id       AS pathogen_concept_id,
  c.concept_name     AS pathogen_concept_name,
  c.concept_code     AS pathogen_concept_code,
  c.concept_class_id AS pathogen_concept_class,
  c.standard_concept AS pathogen_standard_concept,
  c.vocabulary_id    AS pathogen_concept_vocab_id
FROM cdm.concept AS c
WHERE
  lower(c.concept_class_id) = 'organism' AND
  lower(c.concept_name) LIKE '%trypanosoma%' AND
  c.invalid_reason IS NULL
;"
C08 Find a disease causing agent by keyword,"SELECT
  c.concept_id       AS agent_concept_id,
  c.concept_name     AS agent_concept_name,
  c.concept_code     AS agent_concept_code,
  c.concept_class_id AS agent_concept_class,
  c.standard_concept AS agent_standard_concept,
  c.vocabulary_id    AS agent_concept_vocab_id
FROM cdm.concept AS c
WHERE
  lower(c.concept_class_id) IN ('pharmaceutical / biologic product', 'physical object',
                                'special concept', 'event', 'physical force', 'substance') AND
  lower(c.concept_name) LIKE '%radiation%' AND
  c.invalid_reason IS NULL
;"
C09 Find all SNOMED-CT condition concepts that can be caused by a given pathogen or causative agent,"SELECT
  a.concept_id       AS condition_id,
  a.concept_name     AS condition_name,
  a.concept_code     AS condition_code,
  a.concept_class_id AS condition_class,
  a.vocabulary_id    AS condition_vocab_id,
  d.concept_id       AS causative_agent_id,
  d.concept_name     AS causative_agent_name,
  d.concept_code     AS causative_agent_code,
  d.concept_class_id AS causative_agent_class,
  d.vocabulary_id    AS causative_agent_vocab_id
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS a ON cr.concept_id_1 = a.concept_id
  JOIN cdm.concept AS d ON cr.concept_id_2 = d.concept_id
WHERE
  cr.relationship_id = 'Has causative agent' AND
  d.concept_id = 4248851 AND
  cr.invalid_reason IS NULL
;"
C10 Find an anatomical site by keyword,"SELECT
  c.concept_id       AS anatomical_site_id,
  c.concept_name     AS anatomical_site_name,
  c.concept_code     AS anatomical_site_code,
  c.concept_class_id AS anatomical_site_class,
  c.standard_concept AS anatomical_standard_concept,
  c.vocabulary_id    AS anatomical_site_vocab_id
FROM cdm.concept AS c
WHERE
  lower(c.concept_class_id) = 'body structure' AND
  lower(c.concept_name) LIKE '%epiglottis%' AND
  c.invalid_reason IS NULL
;"
C11 Find all SNOMED-CT condition concepts that are occurring at an anatomical site,"SELECT
  a.concept_id       AS condition_id,
  a.concept_name     AS condition_name,
  a.concept_code     AS condition_code,
  a.concept_class_id AS condition_class,
  a.vocabulary_id    AS condition_vocab_id,
  d.concept_id       AS anatomical_site_id,
  d.concept_name     AS anatomical_site_name,
  d.concept_code     AS anatomical_site_code,
  d.concept_class_id AS anatomical_site_class,
  d.vocabulary_id    AS anatomical_site_vocab_id
FROM cdm.concept_relationship AS cr
  JOIN cdm.concept AS a ON cr.concept_id_1 = a.concept_id
  JOIN cdm.concept AS d ON cr.concept_id_2 = d.concept_id
WHERE
  cr.relationship_id = 'Has finding site' AND
  d.concept_id = 4103720 AND
  cr.invalid_reason IS NULL
;"
DRC01 What is the average/max/min cost per pill (total cost / quantity) per drug concept?,"SELECT  t.drug_concept_id,
        avg(t.cost_per_pill) avg_val_num, 
        max(t.cost_per_pill) max_val_num, 
        min(t.cost_per_pill) min_val_num
from (
    SELECT c.total_paid/d.quantity as cost_per_pill, d.drug_concept_id
    FROM cdm.cost c
    JOIN cdm.drug_exposure d
        ON d.drug_exposure_id = c.cost_event_id
    WHERE d.quantity > 0
        AND d.drug_concept_id IN (906805, 1517070, 19010522) 
) t
GROUP BY t.drug_concept_id
ORDER BY t.drug_concept_id;"
